operInstNm,pstTtlNm,pstRegYmd,pstCn
여성가족부,"성착취 피해 아동청소년 지난해 1,187명 지원, 피해 경로 채팅 앱이 가장 많아",20250430,"성착취 피해 아동청소년 지난해 1,187명 지원, 피해 경로 채팅 앱이 가장 많아 2024년 성착취 피해아동청소년 지원센터 연차보고서 발간 피해아동청소년 1,187명 및 보호자 1,556명에게 구조상담의료법률학업자활 등 3만5천여 건 지원 여성가족부와 한국여성인권진흥원은 5월 1일목, 성착취 피해아동청소년 지원센터 2024년 연차보고서를 발간한다. 아동청소년의 성보호에 관한 법률이하 청소년성보호법 개정20.5.19.에 따라 2021년부터 전국 17개 성착취 피해아동청소년 지원센터이하 지원센터에서 성착취로 유입된 피해 아동청소년에게 온라인 상담을 비롯한 상담과 긴급 구조, 의료법률 지원, 학업직업훈련 지원, 사후관리 등의 통합지원 서비스를 제공하고 있다. 지원 현황 이번 보고서에 따르면 지난해 전국 17개 지원센터에서 아동청소년 1,187명과 보호자 1,556명에게 총 3만 5천여 건전년 대비 33.9 증가의 지원 서비스를 제공하였으며, 아동청소년 피해자 수는 2023년도 952명보다 235명 증가했다. 21년 12,520건 22년 26,450건 23년 26,498건 24년 35,485건 지원 인원 2024년에는 2023년 952명보다 24.7 증가한 1,187명의 피해아동청소년이 지원센터에서 총 26,065건의 통합서비스 지원을 받았으며, 1,556명의 보호자가 2차 피해 예방 등을 위하여 9,420건의 상담 서비스를 지원받았다. 통합서비스 상담, 심리, 의료, 법률, 학업, 자립, 연계, 사후지원 등 피해자 현황 피해자의 성별은 여성이 1,169명98.5, 남성이 18명1.5으로 집계됐다. 연령은 1416세가 582명49.0으로 가장 많았고, 1719세가 405명34.1, 1013세가 73명6.1 순으로 나타났다. 피해 경로 피해를 입은 경로는 채팅 앱이 501명42.2으로 가장 많았으며, 사회관계망서비스SNS도 459명38.7으로 주로 온라인을 통한 피해가 많이 발생하는 것으로 나타났다. 주요 알선 고리는 친구와 지인인 경우가 276명23.3으로 가장 높았"
여성가족부,"아동청소년 대상 디지털 성범죄 증가, 처벌도 강화 추세",20250430,"아동청소년 대상 디지털 성범죄 증가, 처벌도 강화 추세 2023년도 아동청소년 대상 성범죄 판결 분석 긴급 신분비공개수사 도입 및 디지털성범죄 처벌 강화로 대응 강화 피해자 식별정보 삭제지원 강화 및 인공지능AI 활용 성착취물 선제 대응 추진 여성가족부는 30일수아동청소년 대상 성범죄 발생 추세와 동향 분석결과를 발표했다. 이는 2023년도에 19세 미만 아동청소년 대상 성범죄로 유죄판결이 확정되어 신상정보 등록 처분을 받은 가해자의 판결문3,452건을 기초로 범죄 양상과 특성, 피해자 관련 사항, 선고 결과 등을 분석한 것이다. 아동청소년 대상 성범죄 발생 추세와 동향 분석은 아동청소년의 성보호에 관한 법률이하 청소년성보호법에 따라 매년 발표하고 있으며, 대상 연도에 확정된 판결문을 분석하여 사건 발생 시점과는 차이가 있음에 유의해야 한다. 본 자료는한국형사법무정책연구원이 여성가족부의 연구용역 의뢰를 받아 법원 판결서 인터넷 열람 서비스를 통해 열람이 가능한 판결문만을 대상으로 분석한 결과이며 국가승인통계가 아님을 밝혀둡니다. 본 자료는한국형사법무정책연구원이 여성가족부의 연구용역 의뢰를 받아 법원 판결서 인터넷 열람 서비스를 통해 열람이 가능한 판결문만을 대상으로 분석한 결과이며 국가승인통계가 아님을 밝혀둡니다."
여성가족부,"저출산고령사회위원회, 제11차 인구 비상대책회의 개최",20250429,"분양전환형 매입임대주택 거주 중 출산한 가구는분양전환을 위한 최소 거주기간 절반으로 단축63년 거주 추진 육아휴직 기간 중 대출 원금상환 유예 제도를정책자금 대출에서 주담대 등민간 금융권 대출까지 확대 검토 다자녀 가구 등 자녀 양육가정에 대한 생활밀착형 혜택 추가 보강 영유아 동반 보호자 패스트트랙우선 창구 이용, 관공서에 이어 은행 창구로 확산 3자녀 이상 가구, 놀이공원롯데월드 이용 시 할인혜택 확대15202025 3자녀 이상 가구, 자동차 검사 수수료 감면비율 2배 상향1530 현장 목소리를 반영한 아이돌봄서비스 추가 제도 개선 아이돌보미 전원 정신건강 자가검진 실시, 돌봄 안정성신뢰도 강화 민간 돌봄 서비스 종사자, 활동 경력 인정으로 교육시간 단축 결혼준비시장스드메 투명화 가속, 표준계약서 마련고강도 세무조사 병행5월부터 스드메 지역별품목별 가격공개 개시, 결혼서비스법 제정도 추진 조부모 등 돌봄수당 지원사업 전국 확산 시동, 4개8개 시도로 확대 시행 남성 돌봄참여 임신기부터 함께, 공무원 배우자 임신검진 동행휴가 신설10일 초고령화가 가속화되면서 20년 뒤 약 99만명의 요양보호사 추가 필요 전망 수요완화지역사회 계속거주 지원, AgeTech 기술 활용와 공급확대케어 참여인력 5.5만명에서 내년까지 10만명으로 확대, 외국인력의 돌봄 현장 유입 동시에 추진하여 대응 취약노인독거, 조손가정, 거동불편, 경증치매 노인 등 가정을 2인 1조로 방문하여 일상생활을 안정적으로 유지할 수 있도록 안부생활안전 점검말벗 등 실시 한국노동연구원은 계속고용 방안으로 선택적 재고용 의무적 재고용 또는 정년연장 순서로 단계적 접근을 제안하여 논의"
여성가족부,청소년 미디어 과의존 예방 및 치유 위해 힘 모은다,20250429,"청소년 미디어 과의존 예방 및 치유 위해 힘 모은다 신영숙 차관오석환 차관, 30일수 가재울청소년센터에서 공동 현장간담회 개최 신영숙 여성가족부 차관과 오석환 교육부 차관은 4월 30일수 서울 서대문구 가재울청소년센터를 함께 방문하여 미디어 과몰입 예방 프로그램을 참관하고 청소년 및 현장관계자들과 간담회를 갖는다. 가재울청소년센터는 가톨릭대학교 병원과 협업하여 청소년의 디지털미디어 과사용과 중독문제 예방 해결책 지원 사업을 추진하고 있다. 이번 방문은 올해 진행 중인 청소년의 미디어 이용습관 진단조사이하 진단조사 실시를 계기로 청소년의 인터넷스마트폰 등 디지털미디어 과몰입 예방을 위한 프로그램을 살펴보고, 효율적인 정책 지원과 관계 부처 간 협력 강화를 위한 현장의 목소리를 듣기 위해 마련되었다. 여성가족부는 교육부와 협력하여 미디어 과의존 청소년을 조기 발굴하고 치유하기 위해 매년 진단조사를 실시하고 있다. 조사대상초1초4중1고1 청소년 조사기간 25.4.1.화5.9.금 진단조사 결과, 미디어 과의존으로 판단되는 청소년들에게는 개인상담 및 집단상담, 병원 연계 치료, 치유캠프 등 다양한 맞춤형 서비스를 지원한다. 특히 미디어 과의존의 저연령화 추세가 지속됨에 따라 올해 전문 기숙치유기관인 국립청소년인터넷드림마을에서는 초등학생 고학년을 대상으로 시범 치유캠프를 새롭게 운영할 계획이다. 24년 스마트폰 과의존율과기부 실태조사 초등 43.8, 중등 41.7, 고등 41.5 이날 현장방문에서는 미디어 과몰입 예방 프로그램에 참여하는 청소년들에게 진단조사에 대해 안내하고 청소년이 직접 진단조사에 참여하는 시간을 갖는다. 또한, 미디어 과의존 회복에 관심이 있는 청소년과 부모 열두 가족을 대상으로 진행되는 건강한 디지털 미디어 사용을 위한 특강과 부모와 자녀가 함께하는 색깔치유COLOR IN HEALING프로그램을 참관한다. 부모와 자녀가 서로에게 어울리는 컬러를 선택하고 컬러 키워드를 참고하여 서로에 대한 생각 나누기 이후 열리는 간담회에서는 학부모, 청소년, 교사,"
여성가족부,"위기청소년 은둔위기경험 감소했으나 3명 중 1명 우울감 경험, 여성가족부 심리지원 강화",20250428,"위기청소년 은둔위기경험 감소했으나 3명 중 1명 우울감 경험, 여성가족부 심리지원 강화 2024년 위기청소년 지원기관 이용자 생활실태조사 결과 발표 가족 갈등으로 가출하지만, 80.8는 부모 사랑 느껴 코로나19 엔데믹 이후 은둔 경험, 위기 경험가출, 온라인 인권침해 등 감소 33가 우울감 경험하고 고립감은 높아 유관기관 연계해 위기청소년 발굴과 생활안정 등 자립지원 강화 고위기 청소년 심리지원 전담인력 확충, 치유프로그램 확대 추진 여성가족부는 30일수2024년 위기청소년 지원기관 이용자 생활실태조사이하 실태조사 결과를 발표했다. 조사대상은 청소년상담복지센터, 청소년쉼터 등과 같은 위기청소년 지원기관을 이용했거나 입소한 경험이 있는 만 9세에서 18세 이하 청소년 4,627명이며, 이들의 가정 안팎의 생활경험과 심리적 특성, 위기상황 경험 등을 조사하였다. 조사대상기관 청소년상담복지센터, 청소년쉼터, 청소년자립지원관, 학교밖청소년지원센터, 국립청소년인터넷드림마을, 국립청소년디딤센터, 청소년회복지원시설, 아동보호전문기관, 소년원, 보호관찰소 조 사 명 2024년 위기청소년 지원기관 이용자 생활실태조사승인통계 제154022호 법적근거 청소년복지 지원법 제2조의2 조사주기 3년21년 신규 조사대상 위기청소년 지원기관 입소이용 경험이 있는 9세18세 청소년 4,627명 조사내용 위기청소년 상황가족관계, 심리정서적 특성 등, 위기경험가정안팎생활, 폭력, 유해약물 등, 정책수요 등 조사기간 2024. 6. 20. 9. 13. 조사기관 한국청소년정책연구원, 주한국리서치 본 실태조사는청소년복지 지원법에 따라 위기청소년의 위기 원인 및 실태를 파악하여 청소년 복지보호정책 수립에 필요한 기초자료로 활용하기 위해 매 3년 마다 실시하는 국가승인통계로, 2021년 첫 조사 이후 이번이 두 번째 조사이다. 이번 조사는 시계열 분석의 안정성 확보를 위해 2021년 조사와 조사문항의 동일성은 유지하며, 사회 환경 변화를 반영하여 고립은둔 관련 문항 등을 추가하였다 조 사 명 2024"
여성가족부,"아이돌봄사 국가자격제, 민간 서비스기관 등록제 도입된다",20250402,"여성가족부는 2일수 국회 본회의에서 아이돌봄 지원법, 아동청소년의 성보호에 관한 법률이하 청소년성보호법 등 여성가족부 소관 7개 일부개정법률안이 의결됐다고 밝혔다."
여성가족부,"양육비이행관리원, 독립법인 출범 및 기능 강화",20240925,여성가족부 산하 양육비이행관리원이 27일금부터 독립법인으로 새롭게 출범한다.
여성가족부,양육비 선지급제 도입 법안 국회 여가위 통과,20240923,여성가족부는 23일월 양육비 선지급제 도입 근거를 담은 양육비 이행확보 및 지원에 관한 법률개정안이 국회 여가위 전체회의를 통과했다고 밝혔다.
여성가족부,고립은둔 청소년에게 희망과 용기 줄래요,20240911,여성가족부는 고립은둔 청소년에게 희망과 용기를 주고 사회 인식개선을 위한 홍보를 진행한다고 12일목 밝혔다.
여성가족부,학교 밖 청소년을 위한 맞춤형 대학 입시설명회 개최,20250428,"학교 밖 청소년을 위한 맞춤형 대학 입시설명회 개최 5월부터 전국 학교밖청소년지원센터에서 대입 설명회 및 11 상담 실시 여성가족부는 대학에 진학하고자 하는 학교 밖 청소년을 위해 5월부터 12월까지 학교밖청소년지원센터이하 꿈드림센터에서 2026학년도 대학 입시설명회 및 11 맞춤형 상담을 실시한다. 전국 꿈드림센터에서 진행되는 이번 대학 입시설명회에서는 각 지역 소재 26학년도 234년제 대학 입시 전형 주요사항 및 지원전략을 소개하고, 개인별 적성을 고려한 11 맞춤형 상담을 제공한다. 더불어 교육청, 대학교 등과 연계한 입시 박람회, 학과 체험, 대학캠퍼스 방문, 모의면접 특강 등을 지역별로 다양하게 운영할 예정이다. 참여를 원하는 학교 밖 청소년은 거주 지역 꿈드림센터에 문의하거나 청소년1388 누리집www.1388.go.kr에서 일정을 확인할 수 있다. 일부 프로그램의 경우 사전접수 필요하며, 거주 지역 꿈드림센터에 문의 한편, 꿈드림센터를 이용한 학교 밖 청소년 중 대학에 진학한 인원은 지속적으로 늘어나 20년 1,506명 대비 2024년 2,296명으로 5년간 52.4 증가하였다. 여성가족부는 학교 밖 청소년이 학업을 지속할 수 있도록 전국 222개 꿈드림센터를 통해 검정고시 대비 및 학습교재인터넷 강의 등을 지원하고 학업 지도상담멘토링 등을 운영하고 있다. 최은주 여성가족부 청소년정책관은 학교 밖 청소년의 대학 진학이 꾸준히 증가하고 있는 만큼, 여성가족부는 학업을 이어가고자 하는 학교 밖 청소년들에게 실질적으로 도움이 되는 다양한 정보 제공과 학습 지원에 힘쓰겠다.라고 밝혔다."
여성가족부,함께 일하고 성장하는 양성평등 조직문화,20250428,"함께 일하고 성장하는 양성평등 조직문화 29일화, 여성가족부 2025년 양성평등 조직문화 조성 사업설명회 개최 여성가족부는 4월 29일화 오후 서울 중구 서울역 공간모아에서 지방자치단체, 공공기관, 공직유관단체 등 100여 개 기관을 대상으로 2025년 양성평등 조직문화 조성 사업설명회이하 사업설명회를 개최한다. 이번 사업설명회는 기관별 조직문화 진단과 개선과제 도출 등 사업의 원활한 수행을 위해 마련되었으며, 사업의 추진방향과 추진 단계별 세부 내용을 설명하고 기관 담당자의 의견을 청취한다. 양성평등 조직문화 조성 사업은 공공부문 조직구성원의 양성평등 의식을 높이고 양성평등의 관점에서 정책을 추진할 수 있도록 조직문화 진단 및 개선을 지원하는 사업이다. 20년 시범운영을 시작으로 공공부문 전반으로 꾸준히 대상을 확대해, 올해는 공직유관단체까지 지원 대상에 포함하였다. 22 지자체광역기초, 중앙행정기관 23 공공기관 추가 25 공직유관단체 추가 지난해까지 총 291개 기관의 조직문화 진단을 지원했으며, 지난해 참여기관 담당자 등을 대상으로 실시한 만족도 조사에서 5점 만점에 4.31점을 받아 전반적으로 높은 만족도를 보였다. 또한, 진단결과를 바탕으로 자체 개선계획을 수립한 기관의 비율은 81.2로 향후 조직문화 개선에 대한 의지 또한 높은 것으로 나타났다. 개선계획 수립률 22 60.0 23 68.8 25 81.2 올해는 160여개 기관을 대상으로 인사직무배치일생활 균형 등 영역별 조직문화 진단 및 맞춤형 개선안 발굴, 개선계획 수립 및 개선사항 이행을 지원할 예정이다. 올해 처음으로 조직진단1년차에 참여하는 60개 기관은 인사제도 운영현황, 성별에 따른 직무배치, 일생활 균형, 기관의 양성평등 노력도 등 조직문화 전반에 대해 종합적인 진단을 받게 된다. 기존에 조직진단을 받은 기관23년차에는 조직진단 결과를 토대로 조직진단 전문가와 각 기관의 관련부서 담당자가 함께 참여하는 맞춤형 간담회 등을 통해 개선계획 수립 및 개선사항 이행 실천을 지원한다. 이날 사"
여성가족부,"여성긴급전화1366, 2024년 한해 폭력피해 상담 29만 건",20250425,"여성긴급전화1366, 2024년 한해 폭력피해 상담 29만 건 가정폭력 피해 상담 줄고, 스토킹교제폭력 피해 상담 증가 남성 폭력 피해상담 꾸준히 증가, 전체 상담 중 6.3 차지 긴급전화센터1366 세종시 개소로 전국망 완성 여성가족부와 한국여성인권진흥원이 28일월 2024년 여성긴급전화 1366 운영실적을 발표했다. 긴급전화센터1366이하 1366은 가정폭력성폭력성매매, 스토킹교제폭력디지털성범죄 등으로 어려움을 겪고 있는 피해자라면 남성여성 누구에게나 365일24시간 초기상담 및 긴급구조보호서비스를 지원한다. 전화로 국번 없이 1366 또는 지역번호1366 연결, 카카오톡 채널에서 women1366 검색, 또는 사이버상담 누리집www.women1366.kr 접속 지난해 1366은 29만 3천여 건의 폭력피해 상담을 지원1일 평균 약 804건해 23년 대비 소폭921건 감소했다. 가정폭력 피해 상담은 148,884건으로 23년 대비 1만 2천여 건 감소했으나, 전체 상담의 50.7로 가장 높은 비중을 차지했다. 가정폭력50.7, 스토킹5.0, 성폭력4.8, 교제폭력3.9, 디지털성범죄1.7, 성매매0.9 2024년에는 특히 스토킹과 교제폭력 피해 상담이 증가했다. 스토킹 피해 상담의 경우 14,553건으로 23년9,017건에 비해 61.4 증가하였고, 교제폭력 피해상담은 11,338건으로 23년9,187건에 비해 23.4 증가했다. 이는, 스토킹처벌법 및 스토킹방지법의 시행과 함께 새로운 유형의 폭력에 대한 사회적 인식변화가 상담 증가로 이어지고 있는 것으로 보인다. 한편, 남성 피해자의 상담 이용률도 증가세를 보이고 있다. 전체 상담 중 남성 비율은 6.3로 매년 꾸준히 증가하고 있으며, 상담 유형은 가정폭력66.2, 디지털 성범죄13.1, 스토킹12.6순으로 나타났다. 남성 상담률 22년 14,996건5.2 23년 17,333건 5.9 24년 18,362건6.3 피해자의 긴급한 위기상황에 대응하기 위해 마련된 긴급피난처는 지난 한 해 동안 4,486명이 "
여성가족부,청소년수련시설 재난 예방 집중안전점검 실시,20250415,"청소년수련시설 재난 예방 집중안전점검 실시 17일목 청소년가족정책실장, 국립청소년인터넷드림마을 집중안전점검 현장방문 여성가족부는 대한민국 안전대전환, 2025년 집중안전점검의 일환으로 청소년수련시설이하 수련시설 집중안전점검을 실시한다고 밝혔다. 집중안전점검 기간 2025.4.14.6.13. 먼저, 황윤정 여성가족부 청소년가족정책실장이 17일목 전라북도 무주군 소재 국립청소년인터넷드림마을을 방문해 집중안전점검 진행상황을 살필 계획이다. 이번 집중안전점검은 수련시설의 위험요인을 선제적으로 발굴해소함으로써 수련시설 재난 예방 및 수련활동 안전 강화를 위한 것으로 올해부터 점검대상을 국립시설뿐만 아니라 지방자치단체가 설치운영하는 공립시설과 민간시설까지 확대하였다. 점검대상38개소 국립 4개소국립청소년인터넷드림마을, 국립청소년바이오생명센터, 국립평창청소년수련원, 국립청소년미래환경센터, 공립 17개소민간 17개소각 시도에서 자체적으로 선정 또한, 시설, 토목, 소방, 전기 등 각 분야의 민간전문가가 참여해 전문장비무인기드론, 열화상카메라, 철근탐지기 등를 활용하여 점검 효과를 높이고 개선이 필요한 사항들을 신속히 조치할 계획이다. 황윤정 청소년가족정책실장은 미래의 주역인 청소년들이 이용하는 청소년수련시설의 안전은 아무리 강조해도 지나침이 없다. 청소년들이 안전한 환경에서 활동에 참여할 수 있도록 수련시설 안전관리에 최선을 다하겠다.라고 밝혔다."
여성가족부,여성의 경제활동 전 생애주기 지원 확대,20250411,"여성의 경제활동 전 생애주기 지원 확대 제18차 양성평등위원회 개최, 제4차 여성의 경제활동 촉진과 경력단절 예방에 관한 기본계획, 국가성평등지수 등 논의 여성가족부는 제18차 양성평등위원회이하 위원회를 개최3.193.28하고 제4차 여성의 경제활동 촉진과 경력단절 예방에 관한 기본계획20252029이하 기본계획과 23년 국가성평등지수를 17일목 발표했다. 이번 기본계획은 지난 22년 전면 개정된 여성의 경제활동 촉진과 경력단절 예방법이하 여성경제활동법에 따라 매5년 마다 수립하는 기본계획이다. 국가성평등지수는 양성평등기본법에 따라 매년 발표가 이루어지고 있으며, 이번에 보고된 지수는 23년 국가성평등지수이다. 기본계획과 23년 국가성평등지수의 주요 내용은 다음과 같다."
여성가족부,"청소년이 빛나는 5월, 행복한 꿈이 펼쳐집니다",20250425,"청소년이 빛나는 5월, 행복한 꿈이 펼쳐집니다 여성가족부는 5월 청소년의 달을 맞아, 청소년의 달 기념식, 제21회 대한민국청소년박람회 등 청소년을 위한 다양한 행사를 개최한다. 청소년의 달은 청소년기본법에 근거해 1988년부터 기념하기 시작했으며, 올해로 37년째를 맞이한다. 먼저, 5월 22일목 청소년의 달 기념식과 함께 제21회 대한민국청소년박람회이하 박람회가 안동국제컨벤션센터경북 안동시 도산면 소재, 이하 컨벤션센터에서 개막된다. 박람회는 5월 22일목부터 5월 24일토까지 대한민국 청소년, 역사를 품고 미래를 연다를 주제로 개최된다. 청소년의 달 기념식은 안동 청소년 오케스트라의 공연을 시작으로, 빛나라 역사의 별, 비춰라 내일의 별을 주제로 한 공연퍼포먼스과 청소년 육성 및 보호 유공자 포상식이 주무대에서 진행된다. 이번 박람회는 광복 80주년을 맞아 청소년들이 역사의식과 미래역량을 함양할 수 있도록 독립운동의 역사적 가치를 주제로 한 나라사랑 체험 프로그램과 함께 다양한 전시와 체험 공간 등이 컨벤션센터 대회의실전시장에서 운영된다. 해군항공사령부의 K청소년과 함께하는 대한민국 해군, 한반도통일미래센터의 생생하게 체험해 보는 통일미래, 한국보훈복지의료공단의 광복 80주년, 함께 하는 보훈 등 참여형 콘텐츠를 운영하며, 대한민국 역사 기념 전시, 독립 운동가 의상체험 및 사진 촬영 등 다양한 광복 80주년 기념 체험 프로그램들이 준비되어 있다. 이 밖에도 진로체험창의예술마음건강디지털역량 등을 주제로 한 200여 개의 체험공간을 마련하여 청소년들이 미래역량을 자연스럽게 키울 수 있도록 구성했다. 5월 23일금에는 우리나라 청소년 분야의 5개 학회가 함께 모여 토론을 하는 청소년 정책 현장포럼청소년연합학술대회이 컨벤션센터 회의실에서 개최되며, 식품의약품안전처 주관으로 청소년 대상 마약류 오남용 예방교육을 주제로 한 뮤지컬 공연, 전국 청소년 힙합댄스 경연대회 등이 진행된다. 한국청소년학회, 한국청소년복지학회, 한국청소년시설환경학회, 미래를여는청소년학회, "
